size,trial,ops
500,1,5128
500,2,4604
500,3,4972
500,4,4744
500,5,4955
500,6,4427
500,7,4647
500,8,4834
500,9,4811
500,10,5067
500,11,4745
500,12,4783
500,13,4760
500,14,4592
500,15,4733
500,16,4981
500,17,4551
500,18,4567
500,19,4916
500,20,4737
500,21,4566
500,22,4833
500,23,4979
500,24,4799
500,25,4893
500,26,5021
500,27,4675
500,28,4889
500,29,4996
500,30,5046
500,31,4766
500,32,4734
500,33,4899
500,34,4637
500,35,4834
500,36,4831
500,37,4721
500,38,4763
500,39,4924
500,40,4805
500,41,4844
500,42,4678
500,43,4811
500,44,4541
500,45,4889
500,46,4623
500,47,4709
500,48,4600
500,49,4759
500,50,4908
500,51,4938
500,52,4760
500,53,4749
500,54,4861
500,55,4752
500,56,4836
500,57,4578
500,58,4736
500,59,4933
500,60,4840
500,61,4867
500,62,4627
500,63,4532
500,64,4843
500,65,4987
500,66,4837
500,67,4804
500,68,4844
500,69,4704
500,70,4725
500,71,4791
500,72,4735
500,73,4887
500,74,4661
500,75,4532
500,76,4847
500,77,4918
500,78,4730
500,79,4761
500,80,4948
500,81,4917
500,82,4877
500,83,4874
500,84,4618
500,85,4805
500,86,4703
500,87,4637
500,88,4805
500,89,4791
500,90,4709
500,91,4782
500,92,4893
500,93,4856
500,94,4695
500,95,4498
500,96,4667
500,97,4707
500,98,5084
500,99,4564
500,100,4965
